package,version,date,source,pkg_source,Title,Descp
bayestestR,0.11.5,2021-10-30,R 4.2.0,CRAN,"Understand and Describe Bayesian Models and Posterior
Distributions","Provides utilities to describe posterior
    distributions and Bayesian models. It includes point-estimates such as
    Maximum A Posteriori (MAP), measures of dispersion (Highest Density
    Interval - HDI; Kruschke, 2015 <doi:10.1016/C2012-0-00477-2>) and
    indices used for null-hypothesis testing (such as ROPE percentage, pd
    and Bayes factors)."
beepr,1.3,2018-06-04,R 4.2.0,CRAN,Easily Play Notification Sounds on any Platform,"The main function of this package is beep(), with the purpose to
    make it easy to play notification sounds on whatever platform you are on.
    It is intended to be useful, for example, if you are running a long analysis
    in the background and want to know when it is ready."
bench,1.1.2,2021-11-30,R 4.2.0,CRAN,High Precision Timing of R Expressions,"Tools to accurately benchmark and analyze execution times for
    R expressions."
BH,1.78.0-0,2021-12-15,R 4.2.0,CRAN,Boost C++ Header Files,"Boost provides free peer-reviewed portable C++ source 
 libraries.  A large part of Boost is provided as C++ template code
 which is resolved entirely at compile-time without linking.  This 
 package aims to provide the most useful subset of Boost libraries 
 for template use among CRAN packages. By placing these libraries in 
 this package, we offer a more efficient distribution system for CRAN 
 as replication of this code in the sources of other packages is 
 avoided. As of release 1.78.0-0, the following Boost libraries are
 included: 'accumulators' 'algorithm' 'align' 'any' 'atomic' 'beast'
 'bimap' 'bind' 'circular_buffer' 'compute' 'concept' 'config'
 'container' 'date_time' 'detail' 'dynamic_bitset' 'exception'
 'flyweight' 'foreach' 'functional' 'fusion' 'geometry' 'graph' 'heap'
 'icl' 'integer' 'interprocess' 'intrusive' 'io' 'iostreams'
 'iterator' 'lambda2' 'math' 'move' 'mp11' 'mpl' 'multiprecision'
 'numeric' 'pending' 'phoenix' 'polygon' 'preprocessor' 'process'
 'propery_tree' 'random' 'range' 'scope_exit' 'smart_ptr' 'sort'
 'spirit' 'tuple' 'type_traits' 'typeof' 'unordered' 'utility' 'uuid'."
BiasedUrn,1.07,2015-12-28,R 4.2.0,CRAN,Biased Urn Model Distributions,"Statistical models of biased sampling in the form of 
  univariate and multivariate noncentral hypergeometric distributions, 
  including Wallenius' noncentral hypergeometric distribution and
  Fisher's noncentral hypergeometric distribution 
  (also called extended hypergeometric distribution).  
  See vignette(""UrnTheory"") for explanation of these distributions."
bibtex,0.4.2.3,2020-09-19,R 4.2.0,CRAN,Bibtex Parser,Utility to parse a bibtex file. 
bindr,0.1.1,2018-03-13,R 4.2.0,CRAN,Parametrized Active Bindings,"Provides a simple interface for creating active bindings where the
    bound function accepts additional arguments."
bindrcpp,0.2.2,2018-03-29,R 4.2.0,CRAN,An 'Rcpp' Interface to Active Bindings,"Provides an easy way to fill an environment with active bindings
    that call a C++ function."
binr,1.1,2015-03-10,R 4.2.0,CRAN,Cut Numeric Values into Evenly Distributed Groups,"Implementation of algorithms for cutting numerical values
    exhibiting a potentially highly skewed distribution into evenly distributed
    groups (bins). This functionality can be applied for binning discrete
    values, such as counts, as well as for discretization of continuous values,
    for example, during generation of features used in machine learning
    algorithms."
BiocManager,1.30.17,2022-04-22,R 4.2.0,CRAN,Access the Bioconductor Project Package Repository,A convenient tool to install and update Bioconductor packages.
bit,4.0.4,2020-08-04,R 4.2.0,CRAN,Classes and Methods for Fast Memory-Efficient Boolean Selections,"Provided are classes for boolean and skewed boolean vectors,
    fast boolean methods, fast unique and non-unique integer sorting,
    fast set operations on sorted and unsorted sets of integers, and
    foundations for ff (range index, compression, chunked processing)."
bit64,4.0.5,2020-08-30,R 4.2.0,CRAN,A S3 Class for Vectors of 64bit Integers,"
 Package 'bit64' provides serializable S3 atomic 64bit (signed) integers. 
 These are useful for handling database keys and exact counting in +-2^63.
 WARNING: do not use them as replacement for 32bit integers, integer64 are not
 supported for subscripting by R-core and they have different semantics when 
 combined with double, e.g. integer64 + double => integer64. 
 Class integer64 can be used in vectors, matrices, arrays and data.frames. 
 Methods are available for coercion from and to logicals, integers, doubles, 
 characters and factors as well as many elementwise and summary functions. 
 Many fast algorithmic operations such as 'match' and 'order' support inter-
 active data exploration and manipulation and optionally leverage caching."
bitops,1.0-7,2021-04-24,R 4.2.0,CRAN,Bitwise Operations,Functions for bitwise operations on integer vectors.
blob,1.2.3,2022-04-10,R 4.2.0,CRAN,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')","R's raw vector is useful for storing a single binary object.
    What if you want to put a vector of them in a data frame? The 'blob'
    package provides the blob object, a list of raw vectors, suitable for
    use as a column in data frame."
blogdown,1.9,2022-03-28,R 4.2.0,CRAN,Create Blogs and Websites with R Markdown,"Write blog posts and web pages in R Markdown. This package
    supports the static site generator 'Hugo' (<https://gohugo.io>) best,
    and it also supports 'Jekyll' (<https://jekyllrb.com>) and 'Hexo'
    (<https://hexo.io>)."
bookdown,0.26,2022-04-15,R 4.2.0,CRAN,Authoring Books and Technical Documents with R Markdown,Output formats and utilities for authoring books and technical documents with R Markdown.
boot,1.3-28,2021-05-03,R 4.2.0,CRAN,Bootstrap Functions (Originally by Angelo Canty for S),"Functions and datasets for bootstrapping from the
  book ""Bootstrap Methods and Their Application"" by A. C. Davison and 
  D. V. Hinkley (1997, CUP), originally written by Angelo Canty for S."
brew,1.0-7,2022-02-04,R 4.2.0,CRAN,Templating Framework for Report Generation,"Implements a templating framework for mixing text and
        R code for report generation. brew template syntax is similar
        to PHP, Ruby's erb module, Java Server Pages, and Python's psp
        module."
bridgesampling,1.1-2,2021-04-16,R 4.2.0,CRAN,Bridge Sampling for Marginal Likelihoods and Bayes Factors,"Provides functions for estimating marginal likelihoods, Bayes
    factors, posterior model probabilities, and normalizing constants in general,
    via different versions of bridge sampling (Meng & Wong, 1996, 
    <http://www3.stat.sinica.edu.tw/statistica/j6n4/j6n43/j6n43.htm>).
    Gronau, Singmann, & Wagenmakers (2020) <doi:10.18637/jss.v092.i10>."
brio,1.1.3,2021-11-30,R 4.2.0,CRAN,Basic R Input Output,"Functions to handle basic input output, these functions
    always read and write UTF-8 (8-bit Unicode Transformation Format)
    files and provide more explicit control over line endings."
brms,2.17.0,2022-04-13,R 4.2.0,CRAN,Bayesian Regression Models using 'Stan',"Fit Bayesian generalized (non-)linear multivariate multilevel models
    using 'Stan' for full Bayesian inference. A wide range of distributions
    and link functions are supported, allowing users to fit -- among others --
    linear, robust linear, count data, survival, response times, ordinal,
    zero-inflated, hurdle, and even self-defined mixture models all in a
    multilevel context. Further modeling options include non-linear and
    smooth terms, auto-correlation structures, censored data, meta-analytic
    standard errors, and quite a few more. In addition, all parameters of the
    response distribution can be predicted in order to perform distributional
    regression. Prior specifications are flexible and explicitly encourage
    users to apply prior distributions that actually reflect their beliefs.
    Model fit can easily be assessed and compared with posterior predictive
    checks and leave-one-out cross-validation. References: Bürkner (2017)
    <doi:10.18637/jss.v080.i01>; Bürkner (2018) <doi:10.32614/RJ-2018-017>;
    Bürkner (2021) <doi:10.18637/jss.v100.i05>; Carpenter et al. (2017)
    <doi:10.18637/jss.v076.i01>."
Brobdingnag,1.2-7,2022-02-03,R 4.2.0,CRAN,Very Large Numbers in R,"Very large numbers in R.  Real numbers are held
        using their natural logarithms, plus a logical flag indicating
        sign.  Functionality for complex numbers is also provided.  The
        package includes a vignette that gives a step-by-step
        introduction to using S4 methods."
broom,0.8.0,2022-04-13,R 4.2.0,CRAN,Convert Statistical Objects into Tidy Tibbles,"Summarizes key information about statistical
    objects in tidy tibbles. This makes it easy to report results, create
    plots and consistently work with large numbers of models at once.
    Broom provides three verbs that each provide different types of
    information about a model. tidy() summarizes information about model
    components such as coefficients of a regression. glance() reports
    information about an entire model, such as goodness of fit measures
    like AIC and BIC. augment() adds information about individual
    observations to a dataset, such as fitted values or influence
    measures."
broom.helpers,1.7.0,2022-04-22,R 4.2.0,CRAN,Helpers for Model Coefficients Tibbles,"Provides suite of functions to work with regression model
    'broom::tidy()' tibbles.  The suite includes functions to group
    regression model terms by variable, insert reference and header rows
    for categorical variables, add variable labels, and more."
bslib,0.3.1,2021-10-06,R 4.2.0,CRAN,Custom 'Bootstrap' 'Sass' Themes for 'shiny' and 'rmarkdown',Simplifies custom 'CSS' styling of both 'shiny' and 'rmarkdown' via 'Bootstrap' 'Sass'. Supports both 'Bootstrap' 3 and 4 as well as their various 'Bootswatch' themes. An interactive widget is also provided for previewing themes in real time.
budgetr,0.2.2,2022-04-28,derek-damron/budgetr@e5e10ae084a4d63770474b0135e163536199d7d4,Github,Easy budgeting in R,Easy budgeting in R.
cachem,1.0.6,2021-08-19,R 4.2.0,CRAN,Cache R Objects with Automatic Pruning,"Key-value stores with automatic pruning. Caches can limit
    either their total size or the age of the oldest object (or both),
    automatically pruning objects to maintain the constraints."
CalibrationCurves,0.1.2,2022-04-28,BavoDC/CalibrationCurves@19bec1b7a502c2179fe5af844198172f1d6058ce,Github,Calibration performance,Plots calibration curves and computes statistics for assessing calibration performance.
CalibratR,0.1.2,2019-08-19,R 4.2.0,CRAN,Mapping ML Scores to Calibrated Predictions,"Transforms your uncalibrated Machine Learning scores to well-calibrated prediction estimates that can be interpreted as probability estimates. The implemented BBQ (Bayes Binning in Quantiles) model is taken from Naeini (2015, ISBN:0-262-51129-0). Please cite this paper: Schwarz J and Heider D, Bioinformatics 2019, 35(14):2458-2465."
callr,3.7.0,2021-04-20,R 4.2.0,CRAN,Call R from R,"It is sometimes useful to perform a computation in a
    separate R process, without affecting the current R process at all.
    This packages does exactly that."
car,3.0-12,2021-11-06,R 4.2.0,CRAN,Companion to Applied Regression,"
  Functions to Accompany J. Fox and S. Weisberg, 
  An R Companion to Applied Regression, Third Edition, Sage, 2019."
CARBayes,5.2.5,2021-09-30,R 4.2.0,CRAN,Spatial Generalised Linear Mixed Models for Areal Unit Data,"Implements a class of univariate and multivariate spatial generalised linear mixed models for areal unit data, with inference in a Bayesian setting using Markov chain Monte Carlo (MCMC) simulation. The response variable can be binomial, Gaussian, multinomial, Poisson or zero-inflated Poisson (ZIP), and spatial autocorrelation is modelled by a set of random effects that are assigned a conditional autoregressive (CAR) prior distribution. A number of different models are available for univariate spatial data, including models with no random effects as well as random effects modelled by different types of CAR prior, including the BYM model (Besag et al. (1991) <doi:10.1007/BF00116466>), the Leroux model (Leroux et al. (2000) <doi:10.1007/978-1-4612-1284-3_4>) and the localised model (Lee et al. (2015) <doi:10.1002/env.2348>). Additionally,  a multivariate CAR (MCAR) model for multivariate spatial data is available, as is a two-level hierarchical model for modelling data relating to individuals within areas. Full details are given in the vignette accompanying this package. The initial creation of this package was supported by the Economic and Social Research Council (ESRC) grant RES-000-22-4256, and on-going development has been supported by the Engineering and Physical Science Research Council (EPSRC) grant EP/J017442/1, ESRC grant ES/K006460/1, Innovate UK / Natural Environment Research Council (NERC) grant NE/N007352/1 and the TB Alliance. "
CARBayesdata,2.2,2020-08-26,R 4.2.0,CRAN,"Data Used in the Vignettes Accompanying the CARBayes and
CARBayesST Packages","Spatio-temporal data from Scotland used in the vignettes accompanying the CARBayes (spatial modelling) and CARBayesST (spatio-temporal modelling) packages. All data except for the Scottish lip cancer data relate to the set of 271 Intermediate Geographies (IG, but also known as Intermediate Zones (IZ))  that make up the 2001 definition of the  Greater Glasgow and Clyde health board. "
carData,3.0-5,2022-01-06,R 4.2.0,CRAN,Companion to Applied Regression Data Sets,"
  Datasets to Accompany J. Fox and S. Weisberg, 
  An R Companion to Applied Regression, Third Edition, Sage (2019)."
caret,6.0-91,2022-03-11,R 4.2.0,CRAN,Classification and Regression Training,"Misc functions for training and plotting classification and
    regression models."
caTools,1.18.2,2021-03-28,R 4.2.0,CRAN,"Tools: Moving Window Statistics, GIF, Base64, ROC AUC, etc","Contains several basic utility functions including: moving
        (rolling, running) window statistic functions, read/write for
        GIF and ENVI binary files, fast calculation of AUC, LogitBoost
        classifier, base64 encoder/decoder, round-off-error-free sum
        and cumsum, etc."
cellranger,1.1.0,2016-07-27,R 4.2.0,CRAN,Translate Spreadsheet Cell Ranges to Rows and Columns,"Helper functions to work with spreadsheets and the ""A1:D10"" style
    of cell range specification."
cem,1.1.29,2021-05-28,R 4.2.0,CRAN,Coarsened Exact Matching,"Implementation of the Coarsened Exact Matching algorithm discussed 
	along with its properties in
  Iacus, King, Porro (2011) <DOI:10.1198/jasa.2011.tm09599>;
	Iacus, King, Porro (2012) <DOI:10.1093/pan/mpr013> and
	Iacus, King, Porro (2019) <DOI:10.1017/pan.2018.29>."
censusxy,1.0.1,2021-02-18,R 4.2.0,CRAN,Access the U.S. Census Bureau's Geocoding A.P.I. System,"Provides access to the U.S. Census Bureau's A.P.I for matching American
    street addresses with their longitude and latitude. This includes both single address matching
    as well as batch functionality for multiple addresses. Census geographies can be appended to 
    addresses if desired, and reverse geocoding of point locations to census geographies is also 
    supported. "
checkmate,2.1.0,2022-04-21,R 4.2.0,CRAN,Fast and Versatile Argument Checks,"Tests and assertions to perform frequent argument checks. A
    substantial part of the package was written in C to minimize any worries
    about execution time overhead."
chron,2.3-56,2020-08-18,R 4.2.0,CRAN,Chronological Objects which can Handle Dates and Times,Provides chronological objects which can handle dates and times.
class,7.3-20,2022-01-16,R 4.2.0,CRAN,Functions for Classification,"Various functions for classification, including k-nearest
  neighbour, Learning Vector Quantization and Self-Organizing Maps."
ClassificationPlot,0.1.1,2022-04-28,BavoDC/ClassificationPlot@00c20187b788a00c42fc3edbc181f6f2430dcfed,Github,Assessing diagnostic performance,Package for assessing performance of diagnostic tests by use of classification plots and additional performance measures.
classInt,0.4-3,2020-04-07,R 4.2.0,CRAN,Choose Univariate Class Intervals,Selected commonly used methods for choosing univariate class intervals for mapping or other graphics purposes.
cli,3.3.0,2022-04-25,R 4.2.0,CRAN,Helpers for Developing Command Line Interfaces,"A suite of tools to build attractive command line interfaces
    ('CLIs'), from semantic elements: headings, lists, alerts, paragraphs,
    etc. Supports custom themes via a 'CSS'-like language. It also
    contains a number of lower level 'CLI' elements: rules, boxes, trees,
    and 'Unicode' symbols with 'ASCII' alternatives. It support ANSI
    colors and text styles as well."
clipr,0.8.0,2022-02-22,R 4.2.0,CRAN,Read and Write from the System Clipboard,"Simple utility functions to read from and write to
    the Windows, OS X, and X11 clipboards."
clisymbols,1.2.0,2017-05-21,R 4.2.0,CRAN,Unicode Symbols at the R Prompt,"A small subset of Unicode symbols, that are useful
    when building command line applications. They fall back to
    alternatives on terminals that do not support Unicode.
    Many symbols were taken from the 'figures' 'npm' package
    (see <https://github.com/sindresorhus/figures>)."
cluster,2.1.3,2022-03-28,R 4.2.0,CRAN,"""Finding Groups in Data"": Cluster Analysis Extended Rousseeuw et
al.","Methods for Cluster analysis.  Much extended the original from
	Peter Rousseeuw, Anja Struyf and Mia Hubert,
	based on Kaufman and Rousseeuw (1990) ""Finding Groups in Data""."
